Denumirea străzii;Numerele caselor;Codul  poştal
Calea Moşilor;1-15,  2-24;MD-2024
Calea Moşilor;31, 40;MD-2059
Calea Orheiului;11-95;MD-2059
Calea Orheiului;97-sf, 88-sf;MD-2020
Ion Callimachi;toate;MD-2051
Cameniţa;toate;MD-2001
Dimitrie Cantemir;1-9, 6-14;MD-2001
Cantonului;toate;MD-2059
Capricorn;toate;MD-2070
Dumitru Caraciobanu;toate;MD-2064
Ion Luca Caragiale;toate;MD-2051
Carierei;toate;MD-2024
Str-la Carierei 1;toate;MD-2024
Str-la Carierei 2;toate;MD-2024
Gheorghe Caşu;toate;MD-2025
Caucaz;toate;MD-2001
Str-la Caucaz 1;toate;MD-2001
Str-la Caucaz 2;toate;MD-2001
Str-la Caucaz  3;toate;MD-2001
Călăraşi;toate;MD-2069
str-la Călăraşi;toate;MD-2069
Călătorilor;toate;MD-2023
Str-la Călătorilor;toate;MD-2023
Gheorge Călinescu ;toate;MD-2051
Călugăreni;toate;MD-2023
Căluşari;toate;MD-2059
Căpriana;toate;MD-2005
Cărămidarilor;toate;MD-2023
Str-la Cărămidarilor;toate;MD-2023
Cărăuşilor;toate;MD-2059
Cărbunari;toate;MD-2023
Căuşeni;toate;MD-2002
Mihai Ceachir;toate;MD-2009
Piotr  Ceaikovski;toate;MD-2008
Maria Cibotari;1-5, 2-4;MD-2009
Maria Cibotari;7-sf, 6-sf;MD-2012
Cernăuţi;toate;MD-2032
Cernica;1-3, 2-16;MD-2038
Cetatea Albă;toate;MD-2002
Cetatea Chilia;toate;MD-2002
Cetinii;toate;MD-2002
Ceucari;toate;MD-2020
Vasile Cheltuială;1-15, 2-38;MD-2009
Vasile Cheltuială;4a, 40, 42, 15-27;MD-2021
Str-la Vasile Cheltuială;toate;MD-2009
Chiţcani;toate;MD-2001
Chişinăului(Stăuceni);3,3/1;5;MD-2020
Simion Cibotaru;toate;MD-2019
Valeri Cicalov;1-5;MD-2026
Cimbrului;toate;MD-2070
Ştefan Ciobanu;toate;MD-2002
Tamara Ciobanu;toate;MD-2008
Ciocana;toate;MD-2044
Chicago(Străşeni);Asociaţii;MD-2075
Ciocîrliei;toate;MD-2021
Str-la Ciocîrliei 1;toate;MD-2021
Str-la Ciocîrliei 2;toate;MD-2021
Igor Ciorbă;toate;MD-2002
Toma Ciorbă;toate;MD-2004
Cioriceşti;toate;MD-2002
Circului;toate;MD-2024
Str-la Circului 1;toate;MD-2024
Str-la Circului 2;toate;MD-2024
Str-la Circului 3;toate;MD-2024
Cireşilor;toate;MD-2009
Cişmele;toate;MD-2070
Cîmpului;toate;MD-2011
Ciuflea;toate;MD-2001
Daniil Ciugureanu;toate;MD-2002
Andrei Ciurunga;toate;MD-2045
Clopotniţei;toate;MD-2002
Ion Cloşca;toate;MD-2019
Henri Coandă;toate;MD-2004
Cobzarilor;toate;MD-2028
Str-la Cobzarilor 1;toate;MD-2028
Str-la Cobzarilor 2;toate;MD-2028
Str-la Cobzarilor 3;toate;MD-2028
Str-la Cobzarilor 4;toate;MD-2028
Str-la Cobzarilor 5;toate;MD-2028
Str-la Cobzarilor 8;toate;MD-2028
Str-la Cobzarilor 9;toate;MD-2028
Eugen Coca ;1-35, 35/1;MD-2008
Eugen Coca;37-sf., 24-sf.;MD-2064
Cocieri;toate;MD-2001
Gheorghe Codreanu;toate;MD-2008
Codrilor;8,10,12;MD-2071
Codru;1-15 , 2-4;MD-2019
Codrul;Asociaţii;MD-2028
Codrul Cosminului;toate;MD-2023
Sergiu Coipan;toate;MD-2049
Cojocarilor;toate;MD-2001
Colina A.  Puşkin;toate;MD-2005
Colinei 1;toate;MD-2019
Colinei 2;toate;MD-2019
Str-la Coline, 1;toate;MD-2019
Coloniţa;toate;MD-2044
Str-la Coloniţa;toate;MD-2044
Cristofor Columb;1-9.;MD-2026
Columna;135-sf, 140-sf;MD-2004
Columna;1-79, 2-62;MD-2001
Columna;81-133,  66-138;MD-2012
Constantin Constantinov;toate;MD-2045
Constanţa;toate;MD-2028
Constituţiei;toate;MD-2064
Constructorilor;toate;MD-2059
Copăceni;1-sf., 6-sf.;MD-2038
Acad. Nicolae Corlăteanu;toate;MD-2045
Corneşti;toate;MD-2024
Cornului;toate;MD-2008
Str-la Cornului;toate;MD-2008
Vasile Coroban;toate;MD-2051
Anatol Corobceanu;1, 7-7a;MD-2012
Anatol Corobceanu;11-sf, 10-sf;MD-2004
Cosaşilor;toate;MD-2002
Alexandru Cosmescu;toate;MD-2009
Sztr-la Alexandru Cosmescu;toate;MD-2009
Cosmonauţilor;6, 7-9;MD-2005
Costeşti;1-sf., 4-sf.;MD-2028
Miron Costin;1-25, 2-26/4;MD-2068
Miron Costin;15/2, 19/5, 19/6, 19/7;MD-2045
Nicolae H.Costin; 2-16;MD-2064
Nicolae H.Costin;3-57, 18-46;MD-2051
Nicolae H.Costin;46, 59-sf, 48/1-sf;MD-2071
Costiujeni;1,  9, 15/1, 15/2,  6-28;MD-2019
Costiujeni;3-7, 30-90;MD-2011
Ilie Coşanu;toate;MD-2075
Gheorghe Coşbuc;toate;MD-2005
acad. Eugen Coşeriu  ;toate;MD-2045
Coşniţa;toate;MD-2001
Vasile Covrig;toate;MD-2029
Cramei;toate;MD-2005
Victor Crăsescu;toate;MD-2059
Str-la Victor Crăsescu;toate;MD-2059
Ion Creangă;1, 4-20/3;MD-2069
Ion Creangă;59-61, 80-sf;MD-2051
Ion Creangă;9-55, 22-78;MD-2064
Ion Creangă (Codru);toate;MD-2019
Anton Crihan;toate;MD-2009
Crinilor;toate;MD-2070
Alexandru Cristea;toate;MD-2032
Cristeşti;toate;MD-2001
Criuleni;toate;MD-2059
Str-la Criuleni;toate;MD-2059
Crisana;toate;MD-2043
Gheorghe Crişan;toate;MD-2019
Crizantemelor;toate;MD-2070
Crîngului;toate;MD-2024
Avocat Eugenia Cruşevan;1;MD-2028
Avocat Eugenia Cruşevan;toate;MD-2021
Str. Gheorghe Cucereanu;toate;MD-2029
Str-la Gheorghe Cucereanu;toate;MD-2029
Cucorilor;toate;MD-2020
Sergiu Culaţchi;toate;MD-2051
Valeriu Cupcea;1-65, 2-48;MD-2009
Valeriu Cupcea;67-sf, 50-sf.;MD-2021
bd. Cuza-Vodă; 1-21, 18/2, 6-46;MD-2060
bd. Cuza-Vodă; 23-sf.;MD-2072
bd. Dacia;1-21;MD-2038
bd. Dacia;2-24;MD-2043
bd. Dacia;23-41, 26-38/1,38/2,38/3, 38/4, 38/9 ;MD-2060
bd. Dacia;47-57, 38/5, 38/6, 38/7,38/8- 58, 49-49/14.;MD-2062
bd. Dacia;50/7;MD-2072
bd. Dacia;60/1-60/5, 80/8,  67-83;MD-2026
Liviu Damian;8;MD-2020
Str-la Liviu Damian;toate;MD-2059
Dante;toate;MD-2002
Danubius;toate;MD-2002
Aurel David;toate;MD-2009
Dealul Cucului;toate;MD-2070
Decebal bd.;139;MD-2060
Decebal bd.;1-5, 2;MD-2001
Decebal bd.;17-25;MD-2002
Decebal bd.;59-91/2,;MD-2015
Decebal bd.;6, 16, 22, 64-84, 99;MD-2038
Decembriştilor;toate;MD-2002
Liviu Deleanu;toate;MD-2071
Parascovia Didâc;toate;MD-2070
