Tip;calificativ;Denumirea străzii;Numerele caselor;Codul  poştal
Strada;;Mesager;toate;MD-2069
Strada;;Meşterul Manole;1-sf, 6/2;MD-2023
Strada;;Meşterul Manole;4-sf, (cu ex. 6/2);MD-2044
Strada;;Veronica Micle;toate;MD-2012
Strada;;Milano;toate;MD-2069
Strada;;Mileşti;1-31, 2-54;MD-2001
Strada;;Minsk;1-43, 2-22;MD-2002
Strada;;Minsk;45-sf., 24-sf.;MD-2015
Strada;;Mioriţa;1-11, 2-20, 30;MD-2028
Strada;;Mioriţa; 60-216,;MD-2019
Strada;;Mircea cel Bătrîn;1-15, 2-22;MD-2044
Strada;;Mircea cel Bătrîn;17-sf, 22/5, 24-sf.;MD-2075
Strada;;Mirceşti;toate;MD-2049
Strada;Mitropolit;Gavriil Bănulescu Bodoni;11-53, 4-24;MD-2012
Strada;Mitropolit;Gavriil Bănulescu Bodoni;1-9, 2;MD-2009
Strada;Mitropolit;Gavriil  Bănulescu Bodoni;26-sf.,  57-sf.;MD-2005
Strada;Mitropolit;Dosoftei;79-85, 100-114;MD-2012
Strada;Mitropolit;Dosoftei;87-sf..,118-sf.;MD-2004
Strada;Mitropolit;Gurie Grosu;1-15, 2-12;MD-2028
Strada;Mitropolit;Gurie Grosu;14-sf.,17-sf.;MD-2021
Strada;Mitropolit;Petru Movilă;toate;MD-2004
Strada;Mitropolit;Varlaam;39-63, 24-56;MD-2001
Strada;Mitropolit;Varlaam;65-sf, 74-sf;MD-2012
Strada;;Moara Roşie;toate;MD-2005
Strada;;Moldoviţa;19-21;MD-2020
Strada;;Moldoviţa;2-28, 23-45;MD-2059
Strada;;Moldoviţa(Străşeni);Asociaţii;MD-2075
Strada;;Molocanilor;toate;MD-2019
Strada;;Montană;toate;MD-2059
Strada;;Nicolae Moroşanu;toate;MD-2009
Strada;;Dumitru Moruzi;toate;MD-2019
Strada;;Movila lui Burcel;toate;MD-2005
Strada;;Movileni;toate;MD-2023
Strada;;Munceşti;807;Sîngera
Strada;;Munceşti;15-29, 46-62;MD-2001
Strada;;Munceşti;293-803, 600-814 cu ex. 780 a;MD-2029
Strada;;Munceşti;31-273 , 66-426,;MD-2002
Strada;;Munceşti;780 a;MD-2026
Strada;;Simeon Murafa;toate;MD-2002
Strada;;Murelor;toate;MD-2051
Strada;;Andrei Mureşanu;toate;MD-2032
Strada;;Gavriil Musicescu;toate;MD-2064
Strada;;Musatinilor;toate;MD-2071
Strada;;Navigatorilor;2-sf, 17-sf;MD-2026
Strada;;Vasile Nauc (Codru);toate;MD-2019
Strada;;Ştefan Neaga;1-51, 2-46/1;MD-2008
Strada;;Ştefan Neaga;53-sf, 48-sf;MD-2064
Strada;;Ion Neculce;1-5;MD-2069
Strada;;Ion Neculce;7-63, 10-sf;MD-2064
Strada;;Negreşteni;toate;MD-2023
Strada;;Alexandru Negru -Vodă;toate;MD-2072
Strada;;Constantin Negruzzi;toate;MD-2001
Strada;;Negureni;toate;MD-2001
Strada;;Ion Nistor;toate;MD-2009
Strada;;Florica Niţă;toate;MD-2024
Strada;;Sergiu Niţă;toate;MD-2024
Strada;;Nucarilor;toate;MD-2009
Strada;;Nuferilor;toate;MD-2072
Strada;;Odesa;23-67, 40-62;MD-2038
Strada;;Odesa;1-23, 2-38;MD-2001
Strada;;Odesa;toate;MD-2038
Strada;;Oituz;toate;MD-2038
Strada;;Oneşti;toate;MD-2009
Strada;;Operaţiunea Iaşi-Chişinău;toate;MD-2045
Strada;;Orhideelor;toate;MD-2070
Strada;;Petre Osmătescu;toate;MD-2072
Strada;;Otopeni;2-sf;MD-2026
Strada;;Otovasca;toate;MD-2023
Strada;;Olimpică;toate;MD-2019
Strada;;Padurilor;toate;MD-2028
Strada;;Pajurii;toate;MD-2024
Strada;;Tudor Pamfile;toate;MD-2049
Strada;;Pandurilor;1-45, 2-56;MD-2002
Strada;;Pandurilor;51-sf., 62-sfr.;MD-2015
Strada;;Anton Pann;toate;MD-2005
Strada;;Parcului;toate;MD-2009
Strada;;Parcului(Viilor);99, 101;MD-2028
Strada;;Paris;toate;MD-2051
Strada;;Paşcani;toate;MD-2023
Strada;;Angela Păduraru;toate;MD-2071
Strada;;Pădurii;8, 1-25,  2-36;MD-2002
Strada;;Pădurii; 8a,;MD-2032
Strada;;Păşunilor;toate;MD-2029
Strada;;Ioan Pelivan;1-15;MD-2064
Strada;;Ioan Pelivan;2-sf, 17-sf;MD-2051
Strada;;Perilor;toate;MD-2051
Strada;;Pescăruşilor;toate;MD-2059
Strada;;Petrăriei;19/1, 19/3, 19/5;MD-2069
Strada;;Petricani;toate;MD-2059
Strada;;Petrodava;toate;MD-2023
Strada;;Pietrarilor; 2 (org.), 2a (org.),5(u/m);MD-2028
Strada;;Pietrarilor;1-41 (cu ex.5 u/m), 2-60;MD-2021
Strada;;Pietrăriei;toate;MD-2024
Strada;;Nicolai Pirogov;1-25,10-24;MD-2009
Strada;;Pitulicii;toate;MD-2059
Strada;Primar;Gherman Pîntea;toate;MD-2045
Strada;;Plaiului (Codru);toate;MD-2019
Strada;;Plaiului;toate;MD-2002
Strada;;Alexandru Plămădeală;toate;MD-2009
Strada;;Plevnei;toate;MD-2068
Strada;;Plopilor;1-13;MD-2026
Strada;;Plugarilor;toate;MD-2023
Strada;;Poamei;1-19,2-18;MD-2062
Strada;;Poamei;21,21B;MD-2032
Strada;;Podgorenilor;toate;MD-2059
Strada;;Podişului;toate;MD-2002
Strada;;Podul de flori;toate;MD-2002
Strada;;Podul Înalt;toate;MD-2023
Strada;;Poienilor;toate;MD-2075
Strada;;Pomicultorilor;toate;MD-2028
Strada;;Pomilor;toate;MD-2028
Strada;;Pompierilor;toate;MD-2062
Strada;;Anatol Popovici;toate;MD-200
Strada;;Vasile Pogor;toate;MD-2051
Strada;;Eugen Popuşoi;toate;MD-2072
Strada;;Ciprian Porumbescu;toate;MD-2008
Strada;;Porumbiţei;toate;MD-2070
Strada;;Porumbrele;toate;MD-2008
Strada;;Poştei;toate;MD-2059
Strada;;Potîrnichii;toate;MD-2019
Strada;;Prepeliţei;1-11, 2-46;MD-2028
Strada;;Prepeliţei;13-33, 48-82;MD-2019
Strada;;Praga;toate;MD-2060
Strada;;Prigoreni;toate;MD-2002
Strada;;Primăverii;toate;MD-2064
Strada;;Progres;Asociaţii;MD-2028
Strada;;Ion Pruncul;toate;MD-2005
Strada;;Pruncul (staţia);2, 6, 16, 44, 3-9;MD-2069
Strada;;Prunului;toate;MD-2004
Strada;;Puhoi;toate;MD-2072
Strada;;Aron Pumnul;toate;MD-2043
Strada;;Alexandru Puşkin;1, 2-10;MD-2009
Strada;;Alexandru Puşkin;3-33, 12-32 ,42;MD-2012
Strada;;Alexandru Puşkin;35-sf, 44-sf;MD-2005
Strada;;Putnei;toate;MD-2059
Strada;;Ioana Radu;toate;MD-2008
Strada;;Serghei Rahmaninov;toate;MD-2064
Strada;;Petru Rareş;toate;MD-2005
Strada;;Rariştii;toate;MD-2008
Strada;;Ratuş;toate;MD-2023
Strada;Academician;Sergiu Rădăuţanu;toate;MD-2045
Strada;Academician;Sergiu Rădăuţanu  (Codru);toate;MD-2019
Strada;;Rîndunele;toate;MD-2028
Strada;;Dumitru Rîşcanu;1-11, 2-sf;MD-2024
Strada;;Dumitru  Rîşcanu;29-37;MD-2068
Strada;;Liviu Rebreanu;toate;MD-2023
Strada;;Ilia Repin;toate;MD-2023
Strada;;Revaca;toate;MD-2029
Strada;;Riga;toate;MD-2002
Strada;;Roguleni;toate;MD-2070
Strada;;Romană;toate;MD-2005
Strada;;Romantica;toate;MD-2025
Strada;;Agnesa Roşca;toate;MD-2009
Strada;;Valentin Roşca;toate;MD-2045
Strada;;Roşiori;toate;MD-2008
Strada;;Rovinari;toate;MD-2028
Strada;;Eugen Russev;toate;MD-2045
Strada;;Alecu Russo;16-sf, 55-sf;MD-2044
Strada;;Alecu Russo;2-10, 1-13/4,14/1;MD-2068
Strada;;Nadejda Russo;toate;MD-2024
Strada;;Mihai Sadoveanu;21/1, 21/2, 21/3, 23, 23/2, 23/5, 26-sf;MD-2075
Strada;Academician;Andrei Saharov;1-5, 2-4;MD-2068
Strada;Academician;Andrei Saharov;6-sf, 11-sf;MD-2024
Strada;;Salcîmilor;toate;MD-2002
Strada;;Sargidava;5, 10;MD-2023
Strada;;Sargidava;toate(cu ex.5,10);MD-2044
Strada;;Sarmizegetusa;1-15, 2-16/2(cu ex.12,16);MD-2015
Strada;;Sarmizegetusa;17-sf, 12,  16-sf (cu ex.16/2, 90/2);MD-2032
Strada;;Sarmizegetusa;90/2;MD-2062
Strada;;Sălcuţa;toate;MD-2051
Strada;;Sărăteni;toate;MD-2001
Strada;;Schinoasa;toate;MD-2028
Strada;;Scinoasa Nouă;toate;MD-2019
Strada;;Scinoşica;toate;MD-2019
Strada;;Schinoasa Deal;1-87, 2-90;MD-2028
Strada;;Schinoasa Vale;67-71, 70-82,;MD-2019
Strada;;Schinoasa Vale;1-65,  2-68;MD-2028
Strada;;Scinoşica;toate;MD-2019
Strada;;Schitului;toate;MD-2008
Strada;;Nicolae Sclifos;toate;MD-2025
Strada;;Nicolae Sulac(Codru);toate;MD-2019
Strada;;Nicolae Sulac;toate;MD-2075
Strada;;Nicolae Sulac(Stăuceni);Asociaţii;MD-2075
Strada;;Scoreni;toate;MD-2023
Strada;;Scutari;toate;MD-2002
Strada;;Sfatul Ţării;1-5, 2-6;MD-2009
Strada;;Sfatul Ţării;53-sf, 30-34;MD-2004
Strada;;Sfatul Ţării;7-41, 8-20;MD-2012
Strada;;Sfînta Treime;toate;MD-2002
Strada;;Sfîntul Andrei;15, 18-20;MD-2005
Strada;;Sfîntul Andrei;17-sf, 30-sf;MD-2004
Strada;;Sfîntul Dumitru;toate;MD-2019
Strada;;Sfîntul Gheorghe;toate;MD-2001
Strada;;Sfîntul Gheorghe (Codru);1-107, 2-72;MD-2019
Strada;;Sfîntul Ilie;33-41, 54-64;MD-2005
Strada;;Sfîntul Ilie;66-sf;MD-2004
Strada;;Sfîntul Ion (Codru);toate;MD-2019
Strada;;Sfîntul Maria;1, 2, 4, 28;MD-2019
Strada;;Sfînta Maria;toate;MD-2059
Strada;;Sfînta Parascheva;toate;MD-2023
Strada;;Sfîntul Pavel;toate;MD-2019
Strada;;Sfîntul Petru;1-15, 2-16,;MD-2001
Strada;;Sfîntul Petru (Codru);1-25 ,;MD-2019
Strada;;Sfîntul Nicolai;toate;MD-2019
Strada;;Sfîntul Ştefan;toate;MD-2028
Strada;;Sfîntul Vasile;toate;MD-2019
Strada;;Sfînta Vineri;toate;MD-2070
Strada;;Sihastrului (Codru);toate;MD-2028
Strada;;Sitarului;toate;MD-2019
Strada;;Sărbească;toate;MD-2005
Strada;;Nichita Smochină;toate;MD-2021
Strada;;Soarelui;32-sf;MD-2011
Strada;;Socilor;toate;MD-2038
Strada;;Socoleni;toate;MD-2020
Strada;;Sofia;toate;MD-2060
Strada;;Solidarităţii;toate;MD-2059
Strada;;Ipate Soroceanu;toate;MD-2025
Strada;;Spartacus;toate;MD-2024
Strada;;Nicolae Milescu Spătaru;11-sf;MD-2075
Strada;;Nicolae Milescu Spătaru;1-9;MD-2044
Strada;;Speranţei;toate;MD-2070
Strada;;Spicului;6, 8, 14;MD-2070
Strada;;Spicului; 104,106, 108;MD-2051
Strada;;Spicului (Petricani);toate;MD-2059
Strada;;Sprîncenoaia;2-10;MD-2028
Strada;;Constantin Stamati;toate;MD-2005
Strada;;Nicolae Starostenco;toate;MD-2001
Strada;;Nichita Stănescu;toate;MD-2072
Strada;;Stejarilor(Stăuceni);toate;MD-2075
Strada;;Constantin Stere;toate;MD-2009
Strada;;Stolniceni;1-9;MD-2038
Strada;;Străşeni;toate;MD-2059
Strada;;Tudor Strişca;8;MD-2043
Strada;;Tudor Strişca;(cu ex. nr. 8);MD-2019
Strada;;Vasile Stroescu;toate;MD-2051
Strada;;Studenţilor;2;MD-2068
Strada;;Studenţilor;toate;MD-2045
Strada;;Alexandru Sturdza;toate;MD-2051
Strada;;Suceava;toate;MD-2051
Strada;;Suceviţa;toate;MD-2051
Strada;Arheolog;Ion Casian Suruceanu;toate;MD-2025
Strada;;Suruceni;toate;MD-2001
Strada;;Alexei Şciusev;111-sf, 106-sf;MD-2004
Strada;;Alexei Şciusev;1-33, 2-34;MD-2001
Strada;;Alexei Şciusev;35-109, 36-104;MD-2012
Strada;;Taras Şevcenco;;
Strada;;Şipotelor;toate;MD-2005
Strada;Primar;Carol Şmidt;toate;MD-2021
Strada;;Ihil Şraibman;toate;MD-2049
Strada;;Şoimari;toate;MD-2015
Strada;;Petru Ştefănucă;12, 13;MD-2069
Strada;;Actor Chiril Ştirbu;;MD-2025
Strada;;Tallin;toate;MD-2002
Strada;;Taşkent;toate;MD-2002
Strada;;Tatarbunar;toate;MD-2070
Strada;;Tăbăcăria Nouă;toate;MD-2002
Strada;;Tăbăcăria Veche;toate;MD-2023
Strada;;Maria Tănase;toate;MD-2008
Strada;;Tecuci;toate;MD-2038
Strada;;Teilor;toate;MD-2043
Strada;;Teilor (Stăuceni);toate;MD-2075
Strada;;Ecaterina Teodoroiu;toate;MD-2059
Strada;;Nicolae Testemiţeanu;toate;MD-2025
Strada;;Tighina;toate;MD-2001
Strada;;Timiş;toate;MD-2009
Strada;;Timişoara;toate;MD-2059
Strada;;Dominte Timonu;toate;MD-2064
Strada;;S. Timoşenco;toate;MD-2049
Strada;;Tiras;toate;MD-2002
Strada;;Tiraspol;toate;MD-2001
Strada;;Tisa;toate;MD-2038
Strada;;Nicolae Titulescu;1, 1/2;MD-2002
Strada;;Nicolae Titulescu;2-20;MD-2015
Strada;;Nicolae Titulescu;22-49/2, 1a,1b-55;MD-2032
Strada;;Tîrgovişte;toate;MD-2044
Strada;;Toamnei;toate;MD-2008
Strada;;Gheorghe Tofan;toate;MD-2051
Strada;;F. Tolbuhin;toate;MD-2049
Strada;;Lev Tolstoi;toate;MD-2001
Strada;;Tomis;toate;MD-2002
Strada;;Gheorghe Topîrceanu;toate;MD-2064
Strada;;Toporaşilor;toate;MD-2008
Strada;;Torino;toate;MD-2069
Strada;;Traian;1-sf;MD-2060
Strada;;Traian;2-sf;MD-2043
Strada;;Trandafirilor;toate;MD-2038
Strada;;Transnistria;3, 5a;MD-2044
Strada;;Transnistria;toate (cu ex.3,  5a);MD-2023
Strada;;Trei Crai;toate;MD-2069
Strada;;Tricolorului;toate;MD-2012
Strada;;Truşeni;toate;MD-2069
Strada;;Gheorghe Tudor;1-7, 2-6;MD-2028
Strada;;Gheorghe Tudor;8-10;MD-2009
Strada;;Vitalie Tulnic;toate;MD-2029
Strada;;Andrei Tupolev;toate;MD-2026
Strada;;Turturele;toate;MD-2028
Strada;;Turghenev;toate;MD-2011
Strada;;Ţărinii;toate;MD-2069
Strada;;Vlad Ţepeş;toate;MD-2028
Strada;;Vasile Ţepordei;toate;MD-2045
Strada;;Ţicau;toate;MD-2002
Strada;;Rabbi Ţirilson;toate;MD-2005
Strada;;Petru Ungureanu;toate;MD--2019
Strada;;Universităţii;toate;MD-2009
Strada;;Ilie Untilă;toate;MD-2025
Strada;;Grigore Ureche;1-53, 2-50;MD-2001
Strada;;Grigore Ureche;55-sf, 52-sf;MD-2005
Strada;;Uzinelor;toate;MD-2023
Strada;;Vadul Bîcului;toate;MD-2002
Strada;;Vadul lui Vodă;1-17, 16-62;MD-2023
Strada;;Vadul lui Vodă;72-sf, 23-sf;MD-2044
Strada;;Valea Albă;toate;MD-2049
Strada;;Valea Apelor;toate;MD-2011
Strada;;Valea Bîcului;toate;MD-2002
Strada;;Valea Crucii;2, 2/1;MD-2062
Strada;;Valea Crucii;toate (cu exc. 2, 2/1);MD-2072
Strada;;Valea Dicescu;1-83, 2-124;MD-2009
Strada;;Valea Dicescu;85-119, 126-160;MD-2021
Strada;;Valea Podului;toate;MD-2001
Strada;;Valea Rădiului;toate;MD-2070
Strada;;Valea Trandafirilor;toate;MD-2001
Strada;;Văleni;toate;MD-2070
Strada;;Varniţa;toate;MD-2023
Strada;;Varşovia;toate;MD-2060
Strada;;G. Vascan;toate;MD-2028
Strada;;Ion Vasilenco;toate;MD-2001
Strada;;Vaslui;toate;MD-2023
Strada;;Ion Vatamanu;toate;MD-2025
Strada;;Văleni;toate;MD-2070
Strada;;Vasile Vărzaru;2-20;MD-2023
Strada;;Vasile Vărzaru;3-11;MD-2044
Strada;;Vesna;Asociaţii;MD-2028
Strada;;Vieru;Asociaţii;MD-2028
Strada;;Igor Vieru;toate;MD-2075
Strada;;Vieru;toate;MD-2070
Strada;;Visterniceni;toate;MD-2059
Strada;;Vişinilor;toate;MD-2051
Strada;;Victoriei(Stăuceni);Asociaţii;MD-2075
Strada;;Virtuţii;toate;MD-2051
Strada;;Viticulturilor;toate;MD-2028
Strada;;Mihai Viteazul;toate;MD-2004
Strada;;Ioan Vodă Viteazul;toate;MD-2019
Strada;;Vîlcele;toate;MD-2070
Strada;;Vîlcov;toate;MD-2002
Strada;;Vînătorilor;1-sf, 2-sf;MD-2028
Strada;;Constantin Vîrnav;toate;MD-2025
Strada;;Grigore Vîrtosu;toate;MD-2049
Strada;;Andrei Vînaru;toate;MD-2019
Strada;;Aurel Vlaicu;toate;MD-2028
Strada;;Tudor Vladimirescu;1( intr,) 3 (intr);MD-2023
Strada;;Tudor Vladimirescu;toate (. 1, 3 case cu apart.);MD-2024
Strada;;Alexandru Vlăhuţă;toate;MD-2005
Strada;;Vlaicu Pîrcălab;1-15, 2-16;MD-2009
Strada;;Vlaicu Pîrcălab;17-sf, 18-sf;MD-2012
Strada;;Voievozilor;toate;MD-2008
Strada;;Voluntarilor;toate;MD-2023
Strada;;Vorniceni;6;MD-2038
Strada;;Vovinţeni;toate;MD-2008
Strada;;Olga Vrabie;toate;MD-2045
Strada;;Williams;toate;MD-2028
Strada;;Alexandru Xenopol;toate;MD-2051
Strada;;Andrei Hodorogea;toate;MD-2019
Strada;;Tudor Hrişca;8;MD-2043
Strada;;Tudor Hrişca;toate (cu ex 8);MD-2019
Strada;;Petru Zadnipru;toate;MD-2044
Strada;;Zagreb;toate;MD-2060
Strada;;Ivan Zaikin;1-7, 2-16;MD-2004
Strada;;Ivan Zaikin;24-sf;MD-2005
Strada;;Zaim;toate;MD-2038
Strada;;Zamolxe;toate;MD-2049
Strada;;Valentin Zarzăr;toate;MD-2029
Strada;;Zăvoiului;toate;MD-2004
Strada;;Nicolai Zelinski;1-5/7;MD-2032
Strada;;Nicolai Zelinski;20-44, 13, 15,  31-37;MD-2038
Strada;;Nicolai Zelinski;2-12/4,7,11;MD-2015
Strada;;Zimbrului;toate;MD-2024
Strada;;Zmeurei;toate;MD-2029
Strada;;Zodiac;toate;MD-2070
Stradela;;Aerodromului 1;toate;MD-2024
Stradela;;Aerodromului 2;toate;MD-2024
Stradela;;Arborilor;toate;MD-2025
Stradela;;31 August 1989;toate;MD-2001
Stradela;;Avicena str-lă 1;toate;MD-2025
Stradela;;Avicena 1;toate;MD-2025
Stradela;;Balcani ;toate;MD-2071
Stradela;;Băcioii Noi;toate;MD-2029
Stradela;;Protoiereu Mihail Berezovschi;toate;MD-2025
Stradela;;Bisericii;toate;MD-2008
Stradela;;Alexandru Botezatu;toate;MD-2005
Stradela;;Ioan Botezătorul;toate;MD-2001
Stradela;;Bujorilor 1(Codru);toate;MD-2019
Stradela;;Bujorilor 5 (Codru);toate;MD-2019
Stradela;;Burebista;toate;MD-2062
Stradela;;Busuiocului 1;toate;MD-2019
Stradela;;Carierei 1;toate;MD-2024
Stradela;;Carierei 2;toate;MD-2024
Stradela;;Caucaz 1;toate;MD-2001
Stradela;;Caucaz 2;toate;MD-2001
Stradela;;Caucaz  3;toate;MD-2001
Stradela;;Călăraşi;toate;MD-2069
Stradela;;Călătorilor;toate;MD-2023
Stradela;;Cărămidarilor;toate;MD-2023
Stradela;;Vasile Cheltuială;toate;MD-2009
Stradela;;Ciocîrliei 1;toate;MD-2021
Stradela;;Ciocîrliei 2;toate;MD-2021
Stradela;;Circului 1;toate;MD-2024
Stradela;;Circului 2;toate;MD-2024
Stradela;;Circului 3;toate;MD-2024
Stradela;;Cobzarilor 1;toate;MD-2028
Stradela;;Cobzarilor 2;toate;MD-2028
Stradela;;Cobzarilor 3;toate;MD-2028
Stradela;;Cobzarilor 4;toate;MD-2028
Stradela;;Cobzarilor 5;toate;MD-2028
Stradela;;Cobzarilor 8;toate;MD-2028
Stradela;;Cobzarilor 9;toate;MD-2028
Stradela;;Coline, 1;toate;MD-2019
Stradela;;Coloniţa;toate;MD-2044
Stradela;;Cornului;toate;MD-2008
Stradela;;Alexandru Cosmescu;toate;MD-2009
Stradela;;Victor Crăsescu;toate;MD-2059
Stradela;;Criuleni;toate;MD-2059
Stradela;;Gheorghe Cucereanu;toate;MD-2029
Stradela;;Liviu Damian;toate;MD-2059
Stradela;;Andrei Doga;toate;MD-2024
Stradela;;Doina;toate;MD-2059
Stradela;;Dragomirna;toate;MD-2008
Stradela;;Maria Drăgan;toate;MD-2044
Stradela;;Drumul Schinoasei 1;toate;MD-2019
Stradela;;Dumbrăvii;toate;MD-2001
Stradela;;Mihai Eminescu(Codru);toate;MD-2019
Stradela;;Fierarilor;toate;MD-2001
Stradela;;Florării 1;toate;MD-2024
Stradela;;Florări 2;toate;MD-2024
Stradela;;Florile Dalbe;toate;MD-2069
Stradela;;Ion Ganea;toate;MD-2009
Stradela;;Ghica- Vodă;toate;MD-2072
Stradela;;Grădinilor;toate;MD-2001
Stradela;Pictor;Mihai Grecu;toate;MD-2025
Stradela;;Haltei;toate;MD-2023
Stradela;;Hanul Morii;toate;MD-2002
Stradela;;Herţen;toate;MD-2025
Stradela;;Hruşca;toate;MD-2001
Stradela;;Imaşului;toate;MD-2029
Stradela;;Lidia Istrati;toate;MD-2045
Stradela;;Izvoarelor 1;toate;MD-2028
Stradela;Pictor;Ion Jumati 1;toate;MD-2062
Stradela;Pictor;Ion Jumati 2;toate;MD-2062
Stradela;;Jubiliară 1;toate;MD-2019
Stradela;;Mihai Juraveli 1;toate;MD-2019
Stradela;;Mihai Juraveli 3;toate;MD-2019
Stradela;;V. Kovtun;toate;MD-2070
Stradela;;Mihail Lermontov;toate;MD-2070
Stradela;;Petru Leşcenco;toate;MD-2045
Stradela;;Dinu Lipatti;toate;MD-2002
Stradela;;Lipcani;toate;MD-2051
Stradela;;Luceafărul; 3-13;MD-2011
Stradela;;Lvov 1;toate;MD-2060
Stradela;;Lvov 2;toate;MD-2060
Stradela;;Lvov 3;toate;MD-2060
Stradela;;Lvov 4;toate;MD-2060
Stradela;;Lvov 6;toate;MD-2060
Stradela;;Mălina Mică;toate;MD-2025
Stradela;;Mereni;toate;MD-2023
Stradela;;Moldoviţa;toate;MD-2001
Stradela;;Molocanilor 1;toate;MD-2019
Stradela;;Movileni;toate;MD-2023
Stradela;;Munceşti;toate;MD-2002
Stradela;;Ştefan Neaga;toate;MD-2064
Stradela;;Constantin Negruzzi;toate;MD-2001
Stradela;;Nucarilor;toate;MD-2009
Stradela;;Olimpică 1;toate;MD-2019
Stradela;;Olimpică 2;toate;MD-2019
Stradela;;Olimpică 3;toate;MD-2019
Stradela;;Parcului;toate;MD-2009
Stradela;;Angela Păduraru;toate;MD-2071
Stradela;;Pădurii;toate;MD-2002
Stradela;;Petricani 1;toate;MD-2059
Stradela;;Petricani 2;toate;MD-2059
Stradela;;Pietrăriei 1;toate;MD-2024
Stradela;;Pietrăriei 2;toate;MD-2024
Stradela;;Primar Gherman Pîntea ;toate;MD-2045
Stradela;;Plaiului 1 (Codru);toate;MD-2019
Stradela;;Plaiului 2 (Codru);toate;MD-2019
Stradela;;Plaiului;toate;MD-2002
Stradela;;Pomicultorilor, 1;toate;MD-2028
Stradela;;Pomicultorilor, 2;toate;MD-2028
Stradela;;Pomicultorilor, 3;toate;MD-2028
Stradela;;Pomicultorilor 4;toate;MD-2028
Stradela;;Pomicultorilor 5;toate;MD-2028
Stradela;;Pomicultorilor 6;toate;MD-2028
Stradela;;Poştei;toate;MD-2059
Stradela;;Potîrnicii 1 ;1-21, 2-24;MD-2019
Stradela;;Potîrnicii 2 ;1-19, 2-22;MD-2019
Stradela;;Potîrnicii 3;1-23, 2-20;MD-2019
Stradela;;Praga;toate;MD-2060
Stradela;;Aron Pumnul;toate;MD-2043
Stradela;Academician;Sergiu Rădăuţanu 1 (Codru);toate;MD-2019
Stradela;Academician;Sergiu Rădăuţanu 2 (Codru);toate;MD-2019
Stradela;Academician;Sergiu Rădăuţanu 3 (Codru);toate;MD-2019
Stradela;;Liviu Rebreanu;toate;MD-2023
Stradela;;Revaca;toate;MD-2029
Stradela;;Romantica;toate;MD-2025
Stradela;;Schinoasa Deal 1;1-87, 2-90;MD-2028
Stradela;;Schinoasa Deal 2;1-87, 2-90;MD-2028
Stradela;;Sculeni;toate;MD-2069
Stradela;;Sfîntul Andrei;toate;MD-2004
Stradela;;Sfînta Vineri;toate;MD-2070
Stradela;;Sihastrului  II-IV;toate;MD-2028
Stradela;;Sitarului 1;toate;MD-2019
Stradela;;Nichita Smochină 1;toate;MD-2021
Stradela;;Nichita Smochină 2;toate;MD-2021
Stradela;;Nichita Smochină 3;toate;MD-2021
Stradela;;Nichita Smochină 4;toate;MD-2021
Stradela;;Ipate Soroceanu;toate;MD-2025
Stradela;;Spartacus 1;toate;MD-2024
Stradela;;Spartacus 2;toate;MD-2024
Stradela;;Nicolae Milescu Spătaru;toate;MD-2044
Stradela;;Spicului (Petricani);toate;MD-2059
Stradela;;Stejăreni;toate;MD-2001
Stradela;;Studenţilor;toate;MD-2020
Stradela;;Taras Şevcenco;;
Stradela;Actor;Chiril Ştirbu;toate;MD-2025
Stradela;;Teatrului;toate;MD-2012
Stradela;;Turghenev;toate;MD-2011
Stradela;;Uzinelor;toate;MD-2023
Stradela;;Valea Apelor 1;toate;MD-2011
Stradela;;Valea Apelor 2;toate;MD-2011
Stradela;;Valea Apelor 3;toate;MD-2011
Stradela;;Valea Apelor  4;toate;MD-2011
Stradela;;Valea Dicescu;toate;MD-2009
Stradela;;Varşovia;toate;MD-2060
Stradela;;Vişinilor;toate;MD-2051
Stradela;;Constantin Vîrnav;toate;MD-2025
Stradela;;Olga Vrabie 1;toate;MD-2045
Stradela;;Olga Vrabie 2;toate;MD-2045
Stradela;;Valentin Zarzăr;toate;MD-2029
