Tip;calificativ;Denumirea străzii;Numerele caselor;Codul  poştal
Strada;;Alessandro Bernardazzi;1-41, 2-40;MD-2001
Strada;;Alessandro Bernardazzi;42-50, 43-57;MD-2012
Strada;;Alessandro Bernardazzi;59-sf, 52-sf;MD-2009
Strada;;N. Berzarin;toate;MD-2049
Strada;;Gheorge Bezviconi;toate;MD-2029
Strada;;Bisericii;toate;MD-2008
Strada;;Lucian Blaga;toate;MD-2009
Strada;;Bogdan Voievod;toate;MD-2068
Strada;;Alexandru Boldur;toate;MD-2029
Strada;;Botanica Veche;toate;MD-2062
Strada;;Boteaza;toate;MD-2002
Strada;;Hristo Botev;toate;MD-2043
Strada;;Alexandru Botezatu;toate;MD-2005
Strada;;Ioan Botezătorul;toate;MD-2001
Strada;;Pavel Boţu;toate;MD-2009
Strada;;Braniştii;toate;MD-2068
Strada;;Brăila;toate;MD-2028
Strada;;Martir Brincoveni;toate;MD-2028
Strada;;Constantin Brîncuşi;toate;MD-2060
Strada;;Constantin Brîncoveanu;17-19, 20;MD-2020
Strada;;Constantin Brîncoveanu;toate (ex.17-19, 20);MD-2059
Strada;;ABCI Bucovina;toate;MD-2075
Strada;;Budei;toate;MD-2023
Strada;;Bucureşti;108, 117-119;MD-2004
Strada;;Bucureşti;1-39, 2-40;MD-2001
Strada;;Bucureşti;41-111, 42-98;MD-2012
Strada;;Bucovinei;toate;MD-2075
Strada;;Bucuriei;toate;MD-2004
Strada;;Budăi;toate;MD-2023
Strada;;Budeşti;toate;MD-2023
Strada;;Bugeacului;toate;MD-2028
Strada;;Buiucani;toate;MD-2008
Strada;;Bujorilor;7-11, 4-40;MD-2009
Strada;;Bujorilor (Codru);1, 2, 3, 4;MD-2019
Strada;;Bulboaca;toate;MD-2023
Strada;;Bulbocica;toate;MD-2024
Strada;;Bulgară;toate;MD-2001
Strada;;Buna Vestire;toate;MD-2005
Strada;;Burebista; 164-188;MD-2072
Strada;;Burebista; 5, 5a,  2-36/2, 38;MD-2002
Strada;;Burebista;3-29,  40-112;MD-2032
Strada;;Burebista;80, 82, 93, 118-134;MD-2062
Strada;;Busuioceşti;toate;MD-2002
Strada;;Busuiocului;toate;MD-2019
Strada;;Butuceni;toate;MD-2023
Strada;;Butucului;1;MD-2062
Strada;;Butucului;53;MD-2072
Strada;;Butucului;2-16;MD-2060
Strada;;Ion Buzdugan;toate;MD-2071
Strada;;Vladimir Buzescu;toate;MD-2023
Strada;;Cahul;toate;MD-2005
Strada;;Caişilor;toate;MD-2004
Strada;;Calea Basarabiei;7, 9;MD-2024
Strada;;Calea Basarabiei;2--18/3.;MD-2023
Strada;;Calea Basarabiei; 26 sf, 5a;MD-2002
Strada;;Calea Dacilor;toate;MD-2075
Strada;;Calea Ghidighici;toate;MD-2069
Strada;;Calea Ieşilor;( 2/5);MD-2004
Strada;;Calea Ieşilor;toate;MD-2069
Strada;;Calea Moşilor;1-15,  2-24;MD-2024
Strada;;Calea Moşilor;31, 40;MD-2059
Strada;;Calea Orheiului;11-95;MD-2059
Strada;;Calea Orheiului;97-sf, 88-sf;MD-2020
Strada;;Ion Callimachi;toate;MD-2051
Strada;;Cameniţa;toate;MD-2001
Strada;;Dimitrie Cantemir;1-9, 6-14;MD-2001
Strada;;Cantonului;toate;MD-2059
Strada;;Capricorn;toate;MD-2070
Strada;;Dumitru Caraciobanu;toate;MD-2064
Strada;;Ion Luca Caragiale;toate;MD-2051
Strada;;Carierei;toate;MD-2024
Strada;;Gheorghe Caşu;toate;MD-2025
Strada;;Caucaz;toate;MD-2001
Strada;;Călăraşi;toate;MD-2069
Strada;;Călătorilor;toate;MD-2023
Strada;;Gheorge Călinescu ;toate;MD-2051
Strada;;Călugăreni;toate;MD-2023
Strada;;Căluşari;toate;MD-2059
Strada;;Căpriana;toate;MD-2005
Strada;;Cărămidarilor;toate;MD-2023
Strada;;Cărăuşilor;toate;MD-2059
Strada;;Cărbunari;toate;MD-2023
Strada;;Căuşeni;toate;MD-2002
Strada;;Mihai Ceachir;toate;MD-2009
Strada;;Piotr  Ceaikovski;toate;MD-2008
